time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-01-07 01:50:07.400 UTC,125,3157213,696,11360, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,947,1,370,370,1, ,2,4, , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131407097,3145728, , , , ,2,3,2,2,2, , ,3,3, , , , , , , ,38,1, , ,2048,1,955,2, , , , , , , , ,22132888,-1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 01:50:07.410 UTC,125,3161501,928,15648, , ,4, ,5, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,947,1,370,370, , , , , , ,47, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131407097,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,22814456,-1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 01:52:19.681 UTC,125,3157853,928,12000, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,2058,2, ,1238, , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131539387,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,22725176,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 01:52:19.697 UTC,125,3160797,928,14944, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,2058,2, ,1238, , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131539387,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23466152,-1, , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 01:52:54.738 UTC,125,3157877,928,12024, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,2770,3, ,2265, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131574446,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,22632400,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 01:53:23.033 UTC,125,3157957,928,12024,80, ,3, ,15,3,0.20, , , , , , , ,3,3, ,2, ,2,1,5, ,11,5, , , , , , , , , , , , , ,2770,3, ,2265, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131602650,3145728, , , ,13, , , ,3, , , ,3, , , , ,13,1,2048,1, , , , ,88064,22, , , , , , , , , , ,22746512,-1, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 01:53:23.046 UTC,125,3160821,928,14968, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,3,2,6, ,1, , , , , , , , , , , , , , ,2770,3, ,2265, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452131602650,3145728, , , ,2, , , , , , , ,3, , , , ,2,1, , , , , , ,4096,2, , , , , , , , , , ,23428080,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:11:00.400 UTC,125,3157901,928,12048, , ,3, ,14,3,0.21, , , , , , , ,3,3, ,2, ,2,1,5, ,10,4, , , , , , , , , , , , , ,3640,4, ,3003, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452132660109,3145728, , , ,12, , , ,2, , , ,3, , , , ,12, ,2048,1, , , , ,83968,20, , , , , , , , , , ,22866880,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:11:00.413 UTC,125,3160877,928,15024, , ,4, ,3,1,0.33, , , , , , , ,4,4, , , ,3,2,6, ,2,1, , , , , , , , , , , , , ,3640,4, ,3003, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452132660109,3145728, , , ,3, , , ,1, , , ,3, , , , ,3,1, , , , , , ,8192,4, , , , , , , , , , ,23548680,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , 
2016-01-07 02:11:25.966 UTC,125,3157925,928,12072, , ,3,1,14,3,0.21, , , , , , , ,3,3, ,2,1,2,1,5, ,10,4, , , , , , , , , , , , , ,4340,5, ,3825, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1452132685680,3145728, , , ,13, , , ,2, , , ,3, , , , ,13, ,2048,1, , , , ,86016,21, , , , , , , , , , ,22889368,-1, , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
